id Cargo;RBD;Adscrito;Nivel;MINISTERIO;SERVICIO;Entidad;Cargo;Region
I 1;;S;I;Interior y Seguridad Pública;Oficina Nacional de Emergencia;;Director/a;Metropolitana
I 10;;S;I;Hacienda;Servicio Nacional de Aduanas;;Director/a Nacional;Valparaíso
I 12;;S;I;Hacienda;Unidad de Análisis Financiero;;Director/a;Metropolitana
I 14;;S;I;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Nacional;Metropolitana
I 15;;S;I;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Nacional;Valparaíso
I 16;;S;I;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Nacional;Metropolitana
I 17;;S;I;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Nacional;Metropolitana
I 18;;S;I;Energía;Superintendencia de Electricidad y Combustibles;;Superintendente/a;Metropolitana
I 19;;S;I;Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;;Director/a Ejecutivo/a;Metropolitana
I 2;;S;I;Relaciones Exteriores;Agencia Chilena de Cooperación Internacional para el Desarrollo;;Director/a Ejecutivo/a;Metropolitana
I 22;;S;I;Educación;Consejo de Rectores;;Secretario/a General;Metropolitana
I 24;;S;I;Educación;Junta Nacional de Jardines Infantiles;;Vicepresidente/a Ejecutivo/a;Metropolitana
I 25;;S;I;Educación;Junta Nacional de Auxilio Escolar y Becas;;Secretario/a General;Metropolitana
I 26;;S;I;Justicia y Derechos Humanos;Defensoría Penal Pública;;Defensor/a Nacional;Metropolitana
I 27;;S;I;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Nacional;Metropolitana
I 28;;S;I;Justicia y Derechos Humanos;Servicio Medico Legal;;Director/a Nacional;Metropolitana
I 29;;S;I;Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;;Superintendente/a;Metropolitana
I 3;;S;I;Relaciones Exteriores;Dirección Nacional de Fronteras y Límites;;Director/a Nacional;Metropolitana
I 30;;S;I;Trabajo y Previsión Social;Dirección General de Crédito Prendario;;Director/a General;Metropolitana
I 32;;S;I;Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;;Director/a Nacional;Metropolitana
I 33;;S;I;Trabajo y Previsión Social;Superintendencia de Pensiones;;Superintendente/a;Metropolitana
I 34;;S;I;Obras Públicas;Dirección de Aeropuertos;;Director/a Nacional;Metropolitana
I 35;;S;I;Obras Públicas;Dirección de Arquitectura;;Director/a Nacional;Metropolitana
I 36;;S;I;Obras Públicas;Dirección de Contabilidad y Finanzas;;Director/a Nacional;Metropolitana
I 37;;S;I;Obras Públicas;Dirección de Obras Hidráulicas;;Director/a Nacional;Metropolitana
I 38;;S;I;Obras Públicas;Dirección de Obras Portuarias;;Director/a Nacional;Metropolitana
I 39;;S;I;Obras Públicas;Dirección de Vialidad;;Director/a Nacional;Metropolitana
I 4;;S;I;Relaciones Exteriores;Instituto Antártico Chileno;;Director/a;Magallanes
I 40;;S;I;Obras Públicas;Dirección General de Aguas;;Director/a;Metropolitana
I 41;;S;I;Obras Públicas;Fiscalía del Ministerio de Obras Públicas;;Fiscal Nacional;Metropolitana
I 42;;S;I;Obras Públicas;Instituto Nacional de Hidráulica;;Director/a Ejecutivo/a;Metropolitana
I 43;;S;I;Obras Públicas;Superintendencia de Servicios Sanitarios;;Superintendente/a;Metropolitana
I 44;;S;I;Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;;Director/a;Metropolitana
I 45;;S;I;Salud;Centro de Referencia de Salud de Maipú;;Director/a;Metropolitana
I 46;;S;I;Salud;Centro de Referencia de Salud Peñalolén Cordillera Oriente;;Director/a;Metropolitana
I 48;;S;I;Salud;Instituto de Salud Pública;;Director/a;Metropolitana
