Nivel;Tipo Cargo;Ministerio;Servicio;Nombre Cargo;Fecha Nombramiento;Fecha Inicio Labor;Concurso;Sexo
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Nacional;11-08-2020;17-08-2020;ADP-5315;Mujer
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional, Región del Maule;19-07-2022;19-07-2022;ADP-10018;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Nacional;19-04-2022;20-04-2022;ADP-12866;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección del Trabajo;Director/a Nacional;15-03-2018;03-04-2018;ADP-3940;Hombre
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional, Región del Maule;10-10-2017;10-10-2017;ADP-3629;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Director/a General;19-10-2022;21-10-2022;ADP-12525;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Director/a General;05-09-2019;06-09-2019;ADP-4663;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Director/a General;19-10-2021;27-10-2021;ADP-8191;Mujer
Nivel I;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Nacional;07-01-2020;27-01-2020;ADP-4992;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Director/a Nacional;20-02-2019;01-03-2019;ADP-4293;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;29-11-2022;12-12-2022;ADP-8331;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Servicio de Salud;22-08-2019;02-09-2019;ADP-4503;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;05-07-2019;11-07-2019;ADP-4380;Hombre
