Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Mes envío nómina;Año Envío Nómina;Fecha Envío Nómina
Nivel I;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Director/a;abr;2004;01-04-2004
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;oct;2004;18-10-2004
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;oct;2004;18-10-2004
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Nacional;dic;2004;23-12-2004
Nivel II;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Jefe/a División Función Inteligencia Financiera;sep;2004;10-09-2004
Nivel II;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Jefe/a División Tecnología y Sistemas;sep;2004;10-09-2004
Nivel II;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Jefe/a División Función Jurídica;sep;2004;10-09-2004
Nivel II;Adscrito;Ministerio de Hacienda;Subsecretaria de Hacienda;Jefe/a División Estudios y Estrategia;sep;2004;10-09-2004
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Bdo. OHiggins;nov;2004;23-11-2004
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Aysén;sep;2004;07-09-2004
Nivel II;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Jefe/a de División Tecnología;dic;2004;29-12-2004
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional de Antofagasta;dic;2004;31-12-2004
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a Departamento de Gestión de Recursos;dic;2004;31-12-2004
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Programas;dic;2004;31-12-2004
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;jun;2005;14-06-2005
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;may;2005;27-05-2005
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;may;2005;27-05-2005
