Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Año Convocatoria;Mes Convocatoria;Concurso;Id Cargo
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;2018;sep;ADP-4038;I 70
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Universitario;2019;mar;ADP-4634;I 208
Nivel I;Adscrito;Ministerio de Educación;Comisión de Expertos para la Regulación de Aranceles;Comisionado/a Experto en Gestión de Educación Superior-SubSistema Técnico Profesional;2019;mar;ADP-4635;I 209
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional Región de Ñuble;2019;mar;ADP-4553;I 206
Nivel I;Adscrito;Autónomo;Defensoría de los Derechos de la Niñez;Director/a de la Unidad de Estudios, Publicaciones y Estadísticas;2019;jun;ADP-4852;I 230
Nivel I;Adscrito;Ministerio de Transportes y Telecomunicaciones;Junta de Aeronáutica Civil;Secretario/a General;2019;abr;ADP-4604;I 98
Nivel I;Adscrito;Ministerio de Educación;Superintendencia de Educación;Superintendente/a;2019;ago;ADP-4912;I 112
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Llanquihue;Director/a Ejecutivo/a;2019;ago;ADP-4817;I 226
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Colchagua;Director/a Ejecutivo/a;2019;ago;ADP-4835;I 229
Nivel I;Adscrito;Ministerio de Obras Públicas;Subsecretaria de Obras Públicas;Integrante Panel Técnico;2019;oct;ADP-5114;N 80
Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Director/a Ejecutivo/a;2019;sep;ADP-4948;I 228
Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Director/a;2022;sep;ADP-12514;I 45
Nivel I;Adscrito;Ministerio de Salud;Centro de Referencia de Salud Peñalolén Cordillera Oriente;Director/a;2022;sep;ADP-12375;I 46
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;2022;sep;ADP-7068;I 87
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;2022;jun;ADP-10566;I 50
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;2022;ago;ADP-13171;I 44
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Valparaíso;Director/a Regional Serviu Valparaíso;2022;ago;ADP-12625;I 85
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;2022;ago;ADP-12916;I 86
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala;Director/a Ejecutivo;2022;jun;ADP-12936;I 234
