Año Envío Nómina;N° Concurso;Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Fecha Envío Nómina;Fecha Convocatoria;Dias; 
2023;ADP-14343;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Chinchorro;Directivo/a Jefe/a de Planificación y Control de Gestión.;27-01-2023;30-10-2022;82;
2023;ADP-12997;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Los Lagos;30-01-2023;25-09-2022;120;
2023;ADP-14679;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional de Ñuble;03-07-2023;19-03-2023;99;
2023;ADP-14838;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Colchagua;Directivo Jefe de Planificación y Control de Gestión;09-02-2023;27-11-2022;58;
2023;ADP-13963;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional Región de Ñuble;06-02-2023;02-10-2022;114;
2023;ADP-13965;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Valparaíso que comprende las Comunas de Valparaíso y Juan Fernandez;Directivo/a Jefe/a de Administración y Finanzas.;12-04-2023;08-01-2023;59;
2023;ADP-15334;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Directivo/a Jefe/a de Administración y Finanzas.;15-03-2023;25-12-2022;45;
2023;ADP-13352;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Directivo/a Jefe/a de Apoyo Técnico Pedagógico.;13-04-2023;22-01-2023;46;
2023;ADP-13533;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Jefe/a de División Función Fiscalización;06-03-2023;18-12-2022;43;
2023;ADP-12541;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Jefe División de Comunicaciones y Denuncias;13-03-2023;11-12-2022;57;
2023;ADP-14790;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Jefe/a de División Función Administración General;14-07-2023;16-04-2023;82;
2023;ADP-13367;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Fiscal;31-07-2023;21-05-2023;63;
2023;ADP-9571;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Punilla Cordillera;Directivo/a Jefe/a de Apoyo Técnico Pedagógico;28-03-2023;11-12-2022;72;
2023;ADP-9563;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Maule Costa;Directivo/a Jefe/a de Apoyo Técnico Pedagógico;01-06-2023;12-03-2023;74;
2023;ADP-14690;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Maule Costa;Directivo/a Jefe/a de Gestión de Personas;13-04-2023;15-01-2023;53;
2023;ADP-9577;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Aysén;Directivo/a Jefe/a de Apoyo Técnico Pedagógico;12-04-2023;08-01-2023;59;
2023;ADP-9583;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Magallanes;Directivo/a Jefe/a de Apoyo Técnico Pedagógico;12-04-2023;11-12-2022;87;
2023;ADP-15335;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Magallanes;Directivo/a Jefe/a de Administración y Finanzas;29-05-2023;05-03-2023;78;
2023;ADP-15055;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Aysén;Directivo/a Jefe/a de Administración y Finanzas;01-06-2023;19-03-2023;67;
2023;ADP-9689;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Licancabur;Directivo/a Jefe/a de Planificación y Control de Gestión;09-06-2023;02-04-2023;61;
2023;ADP-9691;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Licancabur;Directivo/a Jefe/a de Administración y Finanzas;26-05-2023;12-03-2023;68;
2023;ADP-9692;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Licancabur;Directivo/a Jefe/a de Gestión de Personas;08-06-2023;26-03-2023;67;
2023;ADP-17139;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a de Hospital Base de Valdivia;23-06-2023;16-04-2023;61;
2023;ADP-12379;Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Gendarmería de Chile;Subdirector/a Administración y Finanzas;20-01-2023;23-10-2022;82;
2023;ADP-10236;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Hospital Regional Libertador Bernardo OHiggins;24-01-2023;20-11-2022;58;
2023;ADP-14345;Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Jefe/a Unidad de Evaluación, Control y Reclamaciones;27-03-2023;27-11-2022;85;
2023;ADP-12381;Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Maule;28-03-2023;30-10-2022;114;
2023;ADP-17671;Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación Superior;Fiscal;08-08-2023;28-05-2023;65;
2023;ADP-17369;Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Abogado Experto en Materia de Justicia Juvenil;01-06-2023;26-02-2023;88;
2023;ADP-15442;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Andalién Costa;Director/a Ejecutivo;09-06-2023;27-11-2022;159;
2023;ADP-17370;Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional de las Ciencias Sociales;01-06-2023;26-02-2023;88;
2023;ADP-17371;Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional del Área de Educación;01-06-2023;26-02-2023;88;
2023;ADP-15443;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública del Pino;Director/a Ejecutivo;24-07-2023;26-02-2023;141;
2023;ADP-15441;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Marga Marga;Director/a Ejecutivo;09-06-2023;27-11-2022;159;
2023;ADP-15446;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Santa Rosa;Director/a Ejecutivo;09-06-2023;15-01-2023;110;
2023;ADP-15445;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Santa Corina;Director/a Ejecutivo;09-06-2023;15-01-2023;110;
2023;ADP-9598;Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública de Iquique;Directivo/a Jefe/a de Apoyo Técnico Pedagógico.;25-01-2023;23-10-2022;87;
2023;ADP-17372;Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional de la Salud Mental;01-06-2023;26-02-2023;88;
2023;ADP-15444;Nivel I;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Los Libertadores;Director/a Ejecutivo;24-07-2023;29-01-2023;141;
2023;ADP-17373;Nivel I;No Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Nacional de Reinserción Social Juvenil;Consejero Profesional del Área Económica o de la Administración;01-06-2023;26-02-2023;88;
2023;ADP-12106;Nivel II;No Adscrito;Administración local;Municipalidad de Arauco;Jefe/a Departamento de Administración de Educación Municipal;10-02-2023;27-11-2022;58;
2023;ADP-12813;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Director/a Zonal Centro Sur;28-03-2023;15-01-2023;37;
2023;ADP-15959;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Departamento de Fiscalía;19-06-2023;26-03-2023;78;
2023;ADP-13532;Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Araucanía;26-05-2023;05-03-2023;75;
2023;ADP-6526;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Jefe/a División de Gestión y Desarrollo de Personas;09-02-2023;20-11-2022;65;
2023;ADP-4955;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Director/a Zonal Sur;02-06-2023;19-03-2023;68;
2023;ADP-18371;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Aysén;19-07-2023;07-05-2023;66;
2023;ADP-13175;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Departamento de Calidad Educativa;25-04-2023;29-01-2023;51;
2023;ADP-14836;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Jefe/a de División Administración;14-03-2023;18-12-2022;51;
2023;ADP-15454;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Metropolitano/a;21-03-2023;04-12-2022;72;
2023;ADP-7397;Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Magallanes y la Antártica Chilena;13-02-2023;06-11-2022;79;
2023;ADP-12808;Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Jefe/a División Comercialización;19-07-2023;14-05-2023;59;
2023;ADP-5006;Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Hospital de Maipú;08-06-2023;26-03-2023;67;
2023;ADP-13730;Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Jefe/a Departamento Gestión de Programas;02-02-2023;13-11-2022;72;
2023;ADP-12918;Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;21-02-2023;25-09-2022;121;
2023;ADP-8886;Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Jefe/a División Función: Zoológico;03-02-2023;27-11-2022;58;
2023;ADP-12919;Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;16-05-2023;30-10-2022;163;
