index;Year_Convocatoria;Nivel;Ministerio;Servicio;Region;Estado;Concursos
0;2004.0;I;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Metropolitana de Santiago;Nombrado;1
1;2004.0;I;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Región de Metropolitana de Santiago;Nombrado;1
2;2004.0;I;Ministerio de Hacienda;Unidad de Análisis Financiero;Región de Metropolitana de Santiago;Nombrado;1
3;2004.0;I;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Región de Metropolitana de Santiago;Nombrado;1
4;2004.0;I;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Región de  Valparaíso;Nombrado;1
5;2004.0;I;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;Región de  Valparaíso;Nombrado;1
6;2004.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Antofagasta;Nombrado;1
7;2004.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Desierto;1
8;2004.0;II;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Nombrado;1
9;2004.0;II;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Región de Metropolitana de Santiago;Nombrado;1
10;2004.0;II;Ministerio de Hacienda;Subsecretaria de Hacienda;Región de Metropolitana de Santiago;Desierto;1
11;2004.0;II;Ministerio de Hacienda;Unidad de Análisis Financiero;Región de Metropolitana de Santiago;Nombrado;3
12;2004.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
13;2004.0;II;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Región del Libertador General Bernardo OHiggins;Nombrado;1
14;2005.0;I;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Región de Metropolitana de Santiago;Nombrado;1
15;2005.0;I;Ministerio de Salud;Servicio de Salud Antofagasta;Región de Antofagasta;Nombrado;1
16;2005.0;I;Ministerio de Salud;Servicio de Salud Arauco;Región del Biobío;Nombrado;1
17;2005.0;I;Ministerio de Salud;Servicio de Salud Concepción;Región del Biobío;Nombrado;1
18;2005.0;I;Ministerio de Salud;Servicio de Salud Iquique;Región de Tarapacá;Nombrado;1
19;2005.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Región de Metropolitana de Santiago;Nombrado;1
20;2005.0;I;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Región de Metropolitana de Santiago;Nombrado;1
21;2005.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;1
22;2005.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Región de Tarapacá;Nombrado;1
23;2005.0;I;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Región del Biobío;Nombrado;1
24;2005.0;I;Ministerio del Trabajo y Previsión Social;Instituto de Normalización Previsional;Región de Metropolitana de Santiago;Nombrado;1
25;2005.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Antofagasta;Nombrado;1
26;2005.0;II;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Región de Metropolitana de Santiago;Desierto;1
