Adscrito;Nivel;Concurso;Ministerio;Servicio;Nombre Cargo;Fecha Convocatoria;Fecha Envío Nómina;Fecha Desierto;Tipo Desierto
Adscrito;Nivel I;ADP-8166;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Regional, Región del Maule;09-05-2021;27-07-2021;21-10-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-6672;Ministerio de Obras Públicas;Dirección General de Concesiones de Obras Públicas;Director/a General;24-01-2021;-;21-04-2021;Desierto por CADP
Adscrito;Nivel I;ADP-3996;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Servicio de Salud;06-05-2018;13-07-2018;11-09-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-12648;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;24-04-2022;27-07-2022;24-10-2022;Desierto por Autoridad
Adscrito;Nivel I;ADP-3589;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;22-01-2017;26-04-2017;06-10-2017;Desierto por Autoridad
Adscrito;Nivel I;ADP-3820;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;01-04-2018;12-06-2018;05-07-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-12527;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Servicio de Salud;17-07-2022;-;06-12-2022;Desierto por CADP
Adscrito;Nivel I;ADP-8756;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;16-10-2022;17-05-2023;11-07-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-3507;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;06-11-2016;08-03-2017;25-09-2017;Desierto por Autoridad
Adscrito;Nivel I;ADP-3841;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;10-06-2018;30-08-2018;03-10-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-5618;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;05-09-2020;10-12-2020;23-02-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-4004;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;05-08-2018;16-11-2018;26-02-2019;Desierto por Autoridad
Adscrito;Nivel I;ADP-8332;Ministerio de Salud;Servicio de Salud Arauco;Director/a Servicio de Salud;25-07-2021;-;26-10-2021;Desierto por CADP
Adscrito;Nivel I;ADP-4224;Ministerio de Salud;Servicio de Salud Arica y Parinacota;Director Servicio de Salud;08-07-2018;27-09-2018;20-02-2019;Desierto por Autoridad
Adscrito;Nivel I;ADP-4779;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Superintendente/a;30-06-2019;12-09-2019;20-01-2020;Desierto por Autoridad
Adscrito;Nivel I;ADP-5732;Ministerio de Obras Públicas;Instituto Nacional de Hidráulica;Director/a Ejecutivo/a;27-09-2020;10-12-2020;09-06-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-4142;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;08-07-2018;27-09-2018;24-12-2018;Desierto por Autoridad
Adscrito;Nivel I;ADP-5344;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;26-04-2020;-;28-07-2020;Desierto por CADP
Adscrito;Nivel I;ADP-12368;Ministerio de Educación;Superintendencia de Educación Superior;Superintendente/a;17-04-2022;-;08-07-2022;Desierto por CADP
Adscrito;Nivel I;ADP-6368;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Defensor Nacional;10-01-2021;13-04-2021;22-06-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-3294;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;30-10-2016;18-01-2017;07-06-2017;Desierto por Autoridad
Adscrito;Nivel I;ADP-5826;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Superintendente/a;18-10-2020;19-01-2021;11-05-2021;Desierto por Autoridad
Adscrito;Nivel I;ADP-12918;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;25-09-2022;21-02-2023;23-06-2023;Desierto por Autoridad
Adscrito;Nivel I;ADP-4582;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;06-01-2019;09-04-2019;10-05-2019;Desierto por Autoridad
Adscrito;Nivel I;ADP-12515;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;15-05-2022;30-08-2022;09-12-2022;Desierto por Autoridad
