;Número correlativo;Año;Nombre de Servicio;Ministerio;Codigo_de_Actividad_Ejecutada;Codigo_de_Actividad_Planificada;Nombred_del_la_Actividad;Especialidad_de_la_Actividad;Categoría_de_la_Actividad;Numero_de_Participantes;Numero_de_Horas;Tipo_de_Actividad;Estado_de_Actividad;Modalidad_de_Compra;Actividad_Planificada;Jornada;Proveedor;Region_de_Ejecucion_de_la_Actividad;Programa;Objetivo_Global;Objetivo_de_Gestion;Gasto_monto_Item001;Gasto_monto_Item002;Gasto_monto_Item003;Evaluaciones_Realizadas;Evaluación_de_Reacción;Metodología_de_Aprendizaje;Fecha_de_inicio;Fecha_de_Término;Fecha_de_Ingreso_Sistema
19859;233.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560181.0;;Curso Inducción General a la Administración del Estado;Administración General;Administración y Logística;1.0;23.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-02;2020-04-10;2020-05-11
19860;234.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560201.0;;Curso Liderazgo y Trabajo en Equipo;Administración General;Administración y Logística;1.0;2.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-27;2020-04-27;2020-05-11
19861;235.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560202.0;;Curso Pensamiento Estratégico;Administración General;Administración y Logística;1.0;1.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-27;2020-04-27;2020-05-11
19862;236.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560221.0;;Curso Cómo trabajar con clientes enfadados;Administración General;Administración y Logística;1.0;1.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-28;2020-04-28;2020-05-11
19863;237.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560241.0;;Webinar De la resistencia a la construcción emocional positiva;Administración General;Administración y Logística;1.0;1.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;TARGET COMUNICACION Y DESARROLLO INTEGRAL DE CHILE S.A.;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-29;2020-04-29;2020-05-11
19864;238.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560261.0;;Curso Inducción General a la Administración del Estado;Administración General;Administración y Logística;1.0;23.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-02;2020-04-10;2020-05-11
19865;239.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560281.0;;Inducción General a la Administración del Estado;Administración General;Administración y Logística;1.0;23.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-02;2020-04-10;2020-05-11
19866;240.0;2020;Ministerio de Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;560301.0;;Inducción General a la Administración del Estado                                                                        ;Leyes y Normas de Administración Central del Estado;Legislación;1.0;23.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Región Metropolitana de Santiago;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-06;2020-05-15;2020-05-11
19867;241.0;2020;Ministerio de Hacienda;Servicio Nacional de Aduanas;560361.0;472417.0;Programa Operador Económico Autorizado (OEA) ;Eje Estratégico Sectorial;Procesos de Servicio e Industriales;18.0;12.0;Curso;Terminada;Sin costo;Si;Dentro de la Jornada Laboral;SERVICIO NACIONAL DE ADUANAS;Más de una Región;;;;0.0;0.0;0.0;Aprendizaje y reacción;Muy Buena;E-Learning;2020-05-15;2020-05-29;2020-07-08
19868;242.0;2020;Ministerio de Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;560381.0;;Inducción General a la Administración del Estado Avanzada;Leyes y Normas de Administración Central del Estado;Legislación;1.0;40.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Región Metropolitana de Santiago;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-16;2020-05-08;2020-05-12
19869;243.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560521.0;;Curso Inducción General a la Administración del Estado;Administración General;Administración y Logística;1.0;23.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-02;2020-04-10;2020-05-12
19870;244.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560522.0;;Curso Seguridad de la Información;Eje Estratégico Sectorial;Computación e Informática;2.0;4.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;Ministerio del Interior;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-01;2020-04-30;2020-05-12
19871;245.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560541.0;;Curso Inducción a las políticas pro-equidad de género;Administración General;Administración y Logística;1.0;12.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;MINISTERIO DE LA MUJER Y LA EQUIDAD DE GÉNERO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-03-23;2020-04-12;2020-05-12
19872;246.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560561.0;;Curso Fundamentos de la Ciberseguridad;Eje Estratégico Sectorial;Computación e Informática;1.0;2.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-30;2020-04-30;2020-05-12
19873;247.0;2020;Ministerio de Economía, Fomento y Turismo;Subsecretaría de Economía y Empresas de Menor Tamaño;560581.0;;Curso Soporte IT Trucos;Uso, Mantención, Desarrollo y Control de Software Especializados;Computación e Informática;1.0;3.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-30;2020-04-30;2020-05-12
