Ministerio,Subsecretaria,Servicio,Pregunta,subpregunta,Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Capacitación de Código de Etica,,Si Realiza capacitación del Código
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Capacitación del Sistema de Integridad,,Si Realiza capacitación del Sistema de Integridad
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Curso de Código de Ética ","Otro ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Difusión de Código de Etica,,Si Realiza algún tipo de Difusión de Código
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Difusión de los Funcionarios Encargados del Proceso de Consulta ",,Sin Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Difusión de los Funcionarios Encargados del Proceso de Denuncia ",,Sin Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Difusión de los Participantes de la Estructura de Integridad,,Sin Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Difusión del sistema de Integridad,,Si Realiza algún tipo de Difusión del Sistema de Integridad
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Existencia de Canales de Consulta,,Existencia de Canales de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Existencia de Canales de Denuncia,,Existencia de Canales de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Existencia de Diagrama de Consulta,,Existencia de diagrama de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Existencia de Diagrama de Denuncia,,Existencia de diagrama de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Fecha de última actualización del Código de Ética vigente,,2018-12-27 00:00:00
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Frecuencia Reporte del Coordinador a la Autoridad,,"Sin periodicidad "
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Frecuencia Reporte del Coordinador al comité,,"Sin periodicidad "
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,"Grupo de discusión ","Material legal específico ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Consultas Respondidas post 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Investigación Sumaria post 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Sumario Administrativo post 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Denuncias Desestimada post 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Comisión Nacional de Riego,Indicadores Medidos con Posterioridad  2019,% de Denuncias en Proceso post 2019,NULL
