"CD_Concurso","año","Fecha_Convocado","Ministerio","Servicio","Cargo","Nivel","Adscrito","Estado"
"1",2004,2004-03-01,Ministerio de Hacienda,Unidad de Análisis Financiero,Director/a,I,Adscrito,Finalizado con nombramiento
"10",2005,2005-05-17,Ministerio de Educación,Junta Nacional de Auxilio Escolar y Becas,Secretario/a General,I,Adscrito,Finalizado con nombramiento
"100",2005,2005-06-05,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional del Consumidor,Director/a Regional Magallanes y la Antártica Chilena,II,Adscrito,Finalizado con nombramiento
"1000",2011,2011-07-10,Ministerio de Salud,Servicio de Salud del Libertador Bernardo O'Higgins,Subdirector/a Médico/a Hospital de San Fernando,II,Adscrito,Desierto
"1001",2010,2010-05-09,Ministerio de Salud,Servicio de Salud del Libertador Bernardo O'Higgins,Director/a Atención Primaria,II,Adscrito,Desierto
"1002",2009,2009-11-15,Ministerio de Salud,Central de Abastecimiento del Sistema Nacional de Servicios de Salud,Director/a,I,Adscrito,Finalizado con nombramiento
"1003",2009,2009-11-22,Ministerio de Hacienda,Servicio de Tesorerías - Tesorería General de la República,Director/a Regional Tesorero/a Región Metropolitana Santiago Sur,II,Adscrito,Desierto
"1004",2009,2009-11-08,Ministerio de Salud,Servicio de Salud Maule,Director/a Hospital de Constitución,II,Adscrito,Desierto
"1005",2009,2009-11-22,Ministerio de Hacienda,Servicio de Tesorerías - Tesorería General de la República,Jefe/a División Función Operaciones,II,Adscrito,Finalizado con nombramiento
"1006",2011,2011-08-07,Ministerio de Salud,Servicio de Salud Metropolitano Oriente,Subdirector/a Médico/a Hospital Luis Calvo Mackenna,II,Adscrito,Finalizado con nombramiento
"1007",2009,2009-11-22,Ministerio de Salud,Servicio de Salud Magallanes,Subdirector/a Médico/a Hospital Regional de Punta Arenas Dr. Lautaro Navarro Avaria,II,Adscrito,Desierto
"1008",2011,2011-10-16,Ministerio de Salud,Servicio de Salud Concepción,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Finalizado con nombramiento
"1009",2011,2011-05-22,Ministerio de Salud,Servicio de Salud Valdivia,Subdirector/a Médico/a Hospital de Valdivia,II,Adscrito,Finalizado con nombramiento
"101",2005,2005-07-03,Ministerio de Salud,Servicio de Salud Valparaíso - San Antonio,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"1010",2011,2011-12-11,Ministerio de Salud,Servicio de Salud del Reloncaví,Subdirector/a Médico/a Servicio de Salud,II,Adscrito,Desierto
"1011",2011,2011-05-15,Ministerio de Salud,Servicio de Salud Metropolitano Oriente,Subdirector/a Médico/a Hospital Instituto Nacional del Tórax,II,Adscrito,Finalizado con nombramiento
